community_id,size
0,1849
1,823
2,356
3,327
4,318
5,256
6,253
7,248
8,226
9,216
10,215
11,204
12,201
13,177
14,174
15,172
16,172
17,168
18,165
19,160
20,160
21,160
22,148
23,148
24,138
25,127
26,126
27,119
28,111
29,108
30,107
31,105
32,103
33,102
34,96
35,96
36,95
37,94
38,93
39,93
40,90
41,90
42,90
43,89
44,88
45,85
46,85
47,83
48,82
49,80
50,80
51,78
52,76
53,75
54,70
55,67
56,66
57,66
58,66
59,66
60,66
61,64
62,64
63,64
64,60
65,59
66,59
67,59
68,58
69,57
70,57
71,55
72,55
73,55
74,54
75,53
76,52
77,52
78,52
79,51
80,51
81,49
82,49
83,49
84,48
85,47
86,47
87,47
88,47
89,45
90,45
91,45
92,44
93,44
94,44
95,44
96,43
97,43
98,43
99,43
100,43
101,42
102,41
103,40
104,39
105,39
106,39
107,39
108,38
109,38
110,37
111,37
112,37
113,36
114,36
115,35
116,35
117,35
118,35
119,35
120,34
121,34
122,34
123,34
124,34
125,33
126,33
127,33
128,33
129,32
130,32
131,32
132,31
133,30
134,30
135,30
136,30
137,30
138,29
139,29
140,29
141,29
142,29
143,29
144,29
145,28
146,28
147,28
148,28
149,28
150,28
151,28
152,28
153,27
154,27
155,27
156,27
157,27
158,27
159,27
160,27
161,27
162,27
163,26
164,26
165,26
166,26
167,25
168,25
169,25
170,25
171,24
172,24
173,24
174,24
175,24
176,24
177,24
178,24
179,24
180,24
181,24
182,23
183,23
184,23
185,23
186,23
187,23
188,23
189,23
190,23
191,23
192,23
193,23
194,23
195,23
196,22
197,22
198,22
199,22
200,22
201,22
202,22
203,22
204,22
205,22
206,22
207,22
208,22
209,22
210,21
211,21
212,21
213,21
214,21
215,20
216,20
217,20
218,20
219,20
220,20
221,20
222,19
223,19
224,19
225,19
226,19
227,19
228,19
229,19
230,19
231,19
232,19
233,18
234,18
235,18
236,18
237,18
238,18
239,18
240,18
241,18
242,18
243,18
244,18
245,18
246,18
247,18
248,18
249,18
250,18
251,18
252,18
253,18
254,18
255,18
256,18
257,18
258,17
259,17
260,17
261,17
262,17
263,17
264,17
265,17
266,17
267,17
268,17
269,17
270,17
271,17
272,17
273,17
274,17
275,17
276,17
277,17
278,17
279,17
280,16
281,16
282,16
283,16
284,16
285,16
286,16
287,16
288,16
289,16
290,16
291,16
292,16
293,16
294,16
295,16
296,16
297,16
298,16
299,16
300,15
301,15
302,15
303,15
304,15
305,15
306,15
307,15
308,15
309,15
310,15
311,15
312,15
313,15
314,15
315,15
316,15
317,15
318,15
319,15
320,15
321,15
322,15
323,15
324,15
325,15
326,15
327,15
328,15
329,15
330,15
331,14
332,14
333,14
334,14
335,14
336,14
337,14
338,14
339,14
340,14
341,14
342,14
343,14
344,14
345,14
346,14
347,14
348,14
349,14
350,14
351,14
352,14
353,14
354,14
355,14
356,14
357,14
358,14
359,14
360,14
361,14
362,14
363,14
364,14
365,13
366,13
367,13
368,13
369,13
370,13
371,13
372,13
373,13
374,13
375,13
376,13
377,13
378,13
379,13
380,13
381,13
382,13
383,13
384,13
385,13
386,13
387,13
388,13
389,13
390,13
391,13
392,13
393,13
394,13
395,13
396,13
397,13
398,13
399,13
400,13
401,13
402,13
403,13
404,13
405,13
406,13
407,13
408,13
409,13
410,12
411,12
412,12
413,12
