source,target,weight
2885009030,65726750,1
2885009030,49992327,1
2885009030,47351149,1
2885009030,491377394,2
2885009030,728604440,1
17121146,2885009030,1
15467680,2885009030,1
2747989831,2885009030,1
23618466,2885009030,1
23618466,2902546372,1
23618466,68448104,1
23618466,559705005,1
23618466,24842165,1
23618466,2734103126,1
23618466,2493545168,1
1601473026,2885009030,1
1259805054,1284956808,1
1259805054,2812585014,1
1259805054,487600344,1
1259805054,505401712,1
1259805054,201727015,1
29417304,72943129,1
29417304,49698134,1
29417304,346998270,1
29417304,381702960,1
29417304,582205066,1
29417304,49797407,1
29417304,2970420477,1
29417304,571823201,1
29417304,591380734,1
29417304,36077928,1
29417304,52230962,1
29417304,83147551,1
29417304,74643624,1
29417304,2942328782,2
29417304,3118706010,4
29417304,49388157,1
29417304,2942842270,1
29417304,49157283,1
29417304,47379354,5
29417304,306047638,1
29417304,321506408,1
29417304,3023037872,1
29417304,3080663267,2
29417304,41964836,1
29417304,494420351,1
29417304,3044856195,1
29417304,77840333,3
29417304,376525124,1
29417304,2993651280,1
29417304,32502006,2
29417304,3033630329,1
29417304,400275724,1
29417304,49622105,1
29417304,7243782,2
29417304,312344798,1
29417304,319780484,1
29417304,29679790,1
29417304,296939494,1
29417304,55712928,1
29417304,543410216,1
29417304,455206598,5
29417304,45674330,1
29417304,3221855242,2
29417304,30140789,2
29417304,43789332,2
29417304,339686238,1
29417304,3159378836,1
29417304,83122762,1
29417304,67929450,1
29417304,340462633,1
29417304,390751604,1
29417304,333837166,1
29417304,344052892,1
29417304,559705005,2
29417304,32773428,1
29417304,298278827,1
29417304,56693926,2
29417304,50840839,3
29417304,462305473,1
29417304,386534226,1
29417304,97911992,1
29417304,524562107,1
29417304,92720269,2
29417304,63265975,1
29417304,324924857,1
29417304,313577879,1
29417304,66408591,1
29417304,3199173466,1
29417304,724373292,1
29417304,3222671115,1
29417304,3200676449,1
29417304,30909665,1
29417304,346708210,1
29417304,792414116,1
29417304,422798683,1
29417304,3217813955,1
29417304,66157203,1
29417304,358243954,1
29417304,80749580,1
29417304,424738858,1
29417304,73425464,1
29417304,345424893,1
29417304,47293262,1
29417304,3097941772,1
29417304,476337209,2
29417304,380429514,1
29417304,9709412,1
29417304,56831769,1
29417304,548473375,2
29417304,377341283,1
29417304,48844661,1
29417304,3154959646,1
29417304,362928173,1
29417304,791609694,1
29417304,359040891,1
29417304,554049853,1
29417304,92308073,1
29417304,37263822,1
29417304,46476819,1
29417304,36678028,1
29417304,841090794,1
29417304,359211782,1
29417304,3219848542,3
29417304,34457277,1
29417304,540918701,1
29417304,402355096,1
29417304,368804768,1
29417304,3193388279,1
29417304,81649035,1
29417304,463878814,2
29417304,366460226,1
29417304,449982495,1
29417304,88741304,1
29417304,2946837395,1
29417304,315993881,1
29417304,2960266575,1
29417304,332513589,2
29417304,6034422,1
29417304,324678560,1
29417304,4977,1
29417304,69899423,1
29417304,82186626,1
29417304,47415479,1
29417304,788699546,1
29417304,360183997,1
29417304,60949435,1
29417304,417628630,1
29417304,31009340,2
29417304,791558,1
29417304,48479107,1
29417304,91939936,1
29417304,316899266,1
29417304,410818039,1
29417304,382271600,1
29417304,551958609,1
29417304,316763148,1
29417304,53019309,1
29417304,2995212388,2
29417304,501074158,2
29417304,319180499,1
29417304,3217638646,1
29417304,3227065431,1
29417304,33589330,1
29417304,53046002,1
29417304,6111852,1
29417304,396858703,1
29417304,823396141,1
29417304,356693618,1
29417304,437557626,1
29417304,363384624,1
29417304,3192903370,1
29417304,361010987,1
29417304,47306993,1
29417304,454491118,1
29417304,766472472,1
29417304,65860206,1
29417304,988425014,1
29417304,298997025,1
29417304,583300670,1
29417304,3000307756,1
29417304,408151995,1
29417304,4378321760,1
29417304,51611871,1
17459130,72943129,1
564667441,72943129,1
192724847,65277959,1
192724847,2924390150,1
192724847,368532118,1
192724847,237606548,1
192724847,401593074,1
192724847,3044856195,1
192724847,29492601,1
16302242,192724847,1
16302242,35287378,1
16302242,170318438,1
16302242,202015880,1
16302242,21050306,1
16302242,18907579,2
16302242,258496275,1
16302242,20587444,1
16302242,75101299,1
16302242,21254384,1
16302242,2058181,1
16302242,164380330,1
16302242,28414994,1
16302242,3172426196,1
16302242,217170821,1
16302242,1942633788,1
16302242,95507952,1
16302242,246033832,1
16302242,946725954,1
16302242,3042295065,1
16302242,17567847,1
16302242,2398710081,1
16302242,276591744,1
16302242,2799890756,1
16302242,23787278,1
16302242,1906493154,1
16302242,240534583,1
16302242,318537463,1
16302242,214746914,1
16302242,576838841,1
16302242,48858181,1
16302242,178781898,1
16302242,209609922,1
16302242,634621532,1
16302242,3197012450,1
16302242,31168926,1
16302242,231346583,1
16302242,555208562,1
16302242,69768039,1
16302242,2602083344,2
16302242,2729784259,1
16302242,303052686,1
16302242,18065236,1
16302242,271620143,1
16302242,304176688,1
16302242,928052875,1
15372707,16232920,1
27028235,604076195,1
137346000,881216756,1
137346000,558102316,1
18632361,24165761,1
18632361,29417304,6
18632361,39246283,1
18632361,93879982,1
18632361,2735655330,1
18632361,71082732,1
18632361,227837742,1
18632361,81240509,1
18632361,299802277,1
18632361,325076723,1
18632361,734211721,1
18632361,340597125,1
18632361,308148775,1
18632361,92720269,1
18632361,2165447927,1
18632361,756331316,1
18632361,326454163,1
1105528855,18632361,1
1105528855,2896734580,1
1105528855,247878466,2
1105528855,12049382,2
1105528855,57445987,1
1105528855,2620323673,2
1105528855,19468168,1
1105528855,12224342,1
1105528855,455206598,1
1105528855,3178501741,1
1105528855,50840839,1
1105528855,327545905,1
1105528855,905232583,1
1105528855,24920395,1
1105528855,242552877,1
1105528855,2794467741,1
1105528855,2892009458,1
158561160,18632361,1
158561160,1700204558,1
1604931252,18632361,1
1604931252,2220246115,1
1604931252,335972576,1
1604931252,47445501,1
1604931252,596290124,1
1604931252,264109489,2
1604931252,266800302,1
1604931252,54112490,1
1604931252,2965834427,1
1604931252,3294646451,1
1604931252,78192645,1
1604931252,253364452,1
1604931252,234914560,1
1604931252,2687789245,1
1604931252,384484447,1
1604931252,1692025255,1
194180198,49698134,1
194180198,3155226837,1
194180198,293227742,1
194180198,2203366188,1
194180198,53019309,1
194180198,377540405,1
194180198,316428659,1
194180198,20772763,1
194180198,276746114,1
194180198,2942328782,1
13557972,194180198,1
13557972,71158602,1
13557972,2620323673,1
13557972,180824953,1
13557972,925858910,1
13557972,92445954,1
13557972,2772798101,1
13557972,29049770,1
13557972,3127364124,1
13557972,203234093,1
13557972,3090609972,1
13557972,291421323,1
13557972,3169462897,1
13557972,637120308,1
13557972,39853857,1
13557972,566735960,1
13557972,26757926,1
13557972,904687550,1
13557972,37288357,1
13557972,943638643,1
13557972,58012278,1
13557972,2816975187,1
13557972,385519773,1
13557972,3381994415,1
13557972,236562623,1
13557972,443112519,1
13557972,3410234954,1
16711026,194180198,1
16711026,2875761863,1
16711026,29049770,1
16711026,2370768564,1
16711026,24180951,1
16711026,3256622804,1
16711026,328117237,1
16711026,63770391,1
16711026,1729944266,1
15936802,194180198,1
17294136,194180198,1
16031927,194180198,1
16031927,268860442,1
16031927,3098605789,1
16031927,182258630,1
16031927,2927674208,1
16031927,2611976041,1
16031927,18247918,1
16031927,3163117802,1
24825087,29417304,1
2296617739,347915546,1
2296617739,2517169749,1
2296617739,45405888,1
2296617739,2887674719,1
347915546,597981976,1
347915546,803227008,1
24165761,347915546,1
24165761,707205644,1
24165761,37558626,1
24165761,433525242,1
1607427608,347915546,1
2826580150,347915546,1
16253142,347915546,1
16253142,215954615,1
16253142,83874112,1
382134136,49465330,1
382134136,395454830,1
1320961062,143872695,1
23995748,286980191,1
23995748,29879036,1
23995748,2896734580,1
23995748,2942842270,2
23995748,438899680,1
23995748,3033630329,1
23995748,606330511,1
23995748,7243782,1
23995748,379591894,1
23995748,28257942,1
23995748,3159378836,2
