source,target,weight
1640966420,726103488,1
1640966420,252794509,1
1640966420,19688275,1
1640966420,73280996,1
1640966420,16715398,1
1640966420,84936614,1
1640966420,18831926,2
1342487438598402048,1640966420,1
123307361,2919836140,1
1259548730530791425,2210001836,1
2210001836,2210001836,1
2210001836,59545968,2
2210001836,239836960,3
2210001836,4004039832,1
1601858268,2210001836,1
1601858268,463886498,1
1601858268,50718079,1
617956229,617956229,1
1087854042880110592,226611871,1
2290119848,252794509,1
252794509,382855291,1
252794509,84734389,2
252794509,32871593,2
252794509,292722830,1
252794509,252794509,6
252794509,4869569331,1
252794509,9727442,1
252794509,4871508671,1
252794509,36667643,1
252794509,741632916267143168,2
252794509,923643522,1
252794509,796116358882873345,1
252794509,535466024,1
252794509,3308927909,1
252794509,2875332224,1
252794509,413514250,2
252794509,3593677755,1
252794509,256649219,1
252794509,891557160827662336,1
252794509,37977456,1
252794509,3896595553,2
252794509,951103304,1
252794509,970373395136303105,1
252794509,816747853196333057,1
252794509,42130715,1
252794509,67693826,1
252794509,302984766,1
252794509,452447266,1
252794509,36834661,1
252794509,26384168,1
252794509,89803097,1
252794509,73926693,1
252794509,273266803,1
252794509,2584670160,1
252794509,26003418,1
252794509,433999030,1
252794509,847921285065842690,1
252794509,4406426417,1
252794509,25781406,1
252794509,35107179,1
252794509,25444596,1
252794509,514509723,1
252794509,627012374,1
252794509,619437805,1
252794509,898198957,1
1573873243,598506805,1
1573873243,1601858268,1
1573873243,65970675,2
1573873243,3805847837,1
1573873243,588892026,1
1573873243,60955115,1
1573873243,17642448,1
1573873243,237481204,1
1573873243,27887863,1
155558014,1573873243,5
155558014,65970675,2
155558014,1631509880,1
155558014,155558014,2
155558014,744962745338994688,1
829870082167816192,90904573,1
20982926,4172212900,1
832170559,968008274003005440,1
832170559,832170559,3
20846658,69921786,1
20846658,266155742,1
20846658,723514907736563713,1
20846658,252768415,3
20846658,435533981,2
20846658,338493408,3
20846658,760127604649259008,2
20846658,865847230984531969,1
20846658,318424294,1
20846658,456694189,1
20846658,825783415521832960,1
20846658,395236271,1
20846658,42128257,1
1187845385449951232,2332592232,1
1046100659538456578,2170122293,1
130622789,4895856454,1
47723809,54179480,1
3217287141,3217287141,3
16592565,16592565,1
2696914046,2696914046,1
1536661574,709382876047998976,1
1245901757160407042,1245901757160407042,1
1144278726542278656,796160716940120065,1
1144278726542278656,576633251,1
1144278726542278656,26719898,1
1144278726542278656,1229385788347047936,1
1197552513140047873,1313842249717952514,1
1197552513140047873,3161549442,1
1197552513140047873,592266352,1
1199030497231413254,278072553,1
1301199543476912129,1314784015581409280,4
41663292,66369181,1
253810773,851415276,1
253810773,81657956,1
253810773,65970675,1
253810773,3097119673,1
73648642,851415276,1
73648642,857589911511281664,1
4227968080,851415276,1
4227968080,556941520,1
1328848677587259398,83609798,3
1328848677587259398,18226657,1
1328848677587259398,551426814,1
57306714,586879009,1
586879009,80699297,1
586879009,94962756,1
586879009,60322048,1
289300675,586879009,1
197470016,4008585859,1
197470016,485773539,1
197470016,73648642,1
197470016,360754799,1
197470016,91156451,1
197470016,2591885887,1
197470016,451192624,1
197470016,889617321534291968,1
197470016,255096112,1
197470016,36443847,1
197470016,2843486462,1
197470016,28352151,1
197470016,76388675,1
197470016,2718680546,1
197470016,45458388,1
197470016,971425885873111043,1
197470016,232645462,1
197470016,251460142,1
197470016,2804437764,1
197470016,246920706,1
197470016,221304470,1
197470016,913526707851632640,1
197470016,545410392,1
197470016,40346196,1
197470016,2801077926,1
197470016,910540332940460032,1
197470016,470737361,1
197470016,961643595638898688,1
197470016,2866191726,1
197470016,951145872984752128,1
4008585859,4008585859,2
437867912,437867912,2
1061009601355829255,1328900895204110337,1
18450727,36052870,1
1119251935444525057,709382876047998976,1
3011131,804892070,1
100658284,116716199,1
755889342,807787995940036608,1
2409117540,868234904,1
551426814,868234904,1
551426814,925729346983165954,3
551426814,739982069493858305,1
551426814,800988484559368192,1
551426814,579511314,1
551426814,914009283171426304,1
551426814,589009055,1
551426814,83830952,1
551426814,918478082738216960,1
551426814,991596443738746881,1
551426814,72326567,1
551426814,971524060126633984,1
551426814,863345115288489985,1
551426814,835398330,1
551426814,585649247,1
551426814,83933088,1
551426814,792422905,1
551426814,806472144,1
551426814,842318634898853888,2
551426814,70916077,2
551426814,613328014,1
551426814,804892070,1
551426814,57333022,2
551426814,859499834,1
551426814,619062120,1
551426814,562152771,1
551426814,799565517321289728,1
551426814,902896647096737792,1
551426814,843792645906464770,1
551426814,64570768,1
551426814,858289655426449410,1
551426814,554468477,1
551426814,61155321,1
551426814,802792083857833984,1
551426814,562087684,1
551426814,702774098888429568,1
551426814,801759389694697472,1
551426814,970975303,1
551426814,99809172,1
551426814,882337884,1
551426814,923607134520201221,1
551426814,755942606,1
551426814,928928841359417344,1
551426814,909019378439598080,1
551426814,989454907055976448,1
551426814,797892297526562816,1
551426814,880635973,1
551426814,736650059018866688,1
551426814,931101256453623808,1
551426814,884419885161263104,1
551426814,929359572493635584,1
551426814,863092795652886528,1
551426814,971007934141526021,1
551426814,982657854137040896,1
551426814,794281290858188802,1
551426814,66951013,1
551426814,966329066600259584,1
551426814,882827815,1
551426814,748855923398021120,1
551426814,562067020,1
551426814,735431925351993344,1
551426814,837770078494031877,1
551426814,732528407347662848,1
551426814,852441949105786880,1
551426814,928604636398923779,1
551426814,891119762847277056,1
546113289,95022046,1
3158185447,709382876047998976,1
2241300781,813800480430292995,1
1001858595447824384,1246129859782418433,1
1873680866,709382876047998976,1
1051269306,244560668,1
244560668,734943554,1
244560668,244560668,2
244560668,252794509,3
244560668,951547719667126272,1
244560668,44763075,1
244560668,2696723713,1
111212799,244560668,1
2330570804,709382876047998976,1
2330570804,2902892083,1
1163637807694454784,22855848,1
3349993162,3349993162,1
