source,target,weight
109328493,1322688308,1
109328493,277232613,1
109328493,2589349215,1
109328493,1733689704,2
109328493,18597375,1
109328493,1686369542,1
109328493,14426487,1
109328493,18728609,1
109328493,1665217572,1
109328493,272796671,1
109328493,32011415,2
109328493,88353244,1
109328493,2862621898,1
109328493,1241691530,1
109328493,417552250,1
109328493,19359393,1
109328493,16930183,1
109328493,329839187,15
109328493,330330929,7
109328493,26949847,1
109328493,2160199430,1
109328493,225898637,3
109328493,945432906,1
109328493,3178501741,1
109328493,2321273232,1
109328493,325762850,1
109328493,210519453,1
109328493,15685664,1
109328493,2975102105,1
109328493,5264181,2
109328493,22516840,1
109328493,2927158994,1
109328493,210981739,1
109328493,76337810,1
109328493,3056734268,2
109328493,28672288,1
109328493,18632361,1
109328493,22329930,1
109328493,16999451,1
109328493,18225367,1
109328493,578524795,1
109328493,2845605179,1
109328493,216107068,1
109328493,274974275,1
109328493,15372043,1
109328493,2748045557,1
109328493,1730565866,1
109328493,18340400,1
109328493,737696442,2
109328493,15249113,1
109328493,262363083,1
109328493,87030685,1
109328493,2400916177,2
109328493,32416223,1
109328493,720175325,1
109328493,2450720239,1
109328493,463878814,1
109328493,294918280,1
109328493,2579265258,1
109328493,2826956971,1
109328493,2492173190,1
109328493,66124619,1
109328493,438119243,1
109328493,383863452,1
109328493,2907964427,1
109328493,28934244,1
109328493,367795663,1
109328493,157745193,1
109328493,316540144,3
109328493,790941235,1
109328493,295794501,1
109328493,898620354,1
109328493,396949974,1
109328493,3177909494,1
109328493,3218267356,1
109328493,1927769072,1
109328493,481295316,2
109328493,193711763,2
109328493,3147033228,1
109328493,1245066085,1
109328493,1450006598,4
109328493,7744522,1
109328493,605574070,1
109328493,14276198,1
109328493,2864881888,1
109328493,41997750,1
109328493,25684226,1
109328493,15649636,1
109328493,303918175,2
109328493,93704342,1
109328493,582754923,1
109328493,177666268,2
109328493,359175522,1
109328493,26680697,1
109328493,2989983339,1
109328493,2240837358,1
109328493,3140686236,1
109328493,921969522,2
109328493,257163755,1
109328493,16833568,1
109328493,19032113,1
109328493,66540166,1
109328493,162100933,1
109328493,30317471,1
109328493,1668386874,1
109328493,19252960,1
109328493,1569234732,2
109328493,33579675,1
109328493,2463656072,1
109328493,39637349,1
109328493,289164727,2
109328493,254876899,1
109328493,2534342832,2
109328493,90257343,1
109328493,239650277,1
109328493,2461749030,1
109328493,69468582,1
109328493,860820816,2
109328493,18437533,1
109328493,2410348671,1
109328493,26313813,1
109328493,448356919,1
109328493,33797818,1
109328493,1104968779,2
109328493,1258475959,1
109328493,39355771,2
109328493,374941959,1
109328493,162959947,1
109328493,57710938,1
109328493,483689667,2
109328493,1291613402,1
109328493,30378515,1
109328493,498350065,2
109328493,15051291,1
109328493,423717038,2
109328493,805788343,1
109328493,23617145,1
109328493,291881873,1
109328493,23146830,1
109328493,19555712,1
109328493,22407018,1
109328493,21384358,1
109328493,89090775,1
109328493,2244826566,1
109328493,524511866,1
109328493,2657394641,1
109328493,1478407831,1
109328493,431361456,1
109328493,187547165,1
109328493,57721119,1
109328493,566631852,1
109328493,2620323673,1
109328493,310282801,1
109328493,191938843,1
109328493,2197202281,1
109328493,356837905,1
109328493,58892096,1
109328493,490097102,1
109328493,41444233,1
109328493,1717678788,1
109328493,19580287,1
109328493,77762193,1
109328493,2950875602,1
109328493,2940271598,3
109328493,1602143742,1
109328493,2905914863,1
109328493,992529355,3
109328493,2744743236,2
109328493,88718183,1
109328493,1496530303,1
109328493,2479616714,1
109328493,2370768564,1
109328493,7243782,1
109328493,954327512,2
109328493,252578331,1
109328493,49842959,1
109328493,246642810,1
109328493,220266778,1
109328493,10938752,1
109328493,266323731,1
109328493,402744581,1
109328493,2308071789,1
109328493,319964305,1
109328493,297946443,1
109328493,2153090638,3
109328493,1346920860,1
109328493,518760565,3
109328493,18558809,1
109328493,130477174,3
109328493,526621470,1
109328493,22226294,2
109328493,1609187456,1
109328493,2376158102,1
109328493,131647414,2
109328493,35956679,1
109328493,23018318,1
109328493,396598533,1
109328493,23406730,2
109328493,2562257841,1
109328493,290197802,1
109328493,2347460077,1
109328493,15922179,1
109328493,465920715,1
109328493,194277438,1
109328493,415582246,1
109328493,369762787,1
109328493,96476726,4
109328493,53162642,1
109328493,69011562,1
109328493,18020390,1
109328493,3145933311,1
109328493,42525559,2
109328493,833910751,1
109328493,3223052660,1
109328493,49013218,1
109328493,317563102,1
109328493,1459916354,1
109328493,3310060296,3
109328493,45454970,1
109328493,153261181,1
1047102432,325076723,1
1047102432,2875881760,1
1047102432,2735655330,2
1047102432,143872695,1
1047102432,27966935,1
1047102432,29417304,1
1047102432,15996661,1
1047102432,3037243165,1
1047102432,394969362,1
1047102432,18094552,1
1047102432,16935292,1
1047102432,335972576,1
1047102432,339518468,1
28624598,65584585,1
30877835,42958829,1
2349529394,2875761863,1
2349529394,285517601,1
2349529394,92492429,1
2349529394,857370102,1
2349529394,2708122608,1
2349529394,545482600,1
2349529394,700891317,1
2349529394,85738930,1
2349529394,359145082,1
24745957,38913093,1
24745957,376191823,1
24745957,67194113,1
24745957,3311238457,1
292057235,29417304,1
180449346,52230962,3
180449346,31562965,1
180449346,3254271222,1
26419071,38913093,1
1713068510,3097963901,1
192724847,30602016,1
192724847,2396886176,1
192724847,950426113,1
192724847,2725118930,1
192724847,39246283,1
192724847,2347049341,1
192724847,199606534,1
192724847,21854543,1
192724847,728604440,1
192724847,23995748,2
192724847,20818801,1
192724847,81240509,1
192724847,3108351,1
192724847,55355654,1
192724847,3116995985,1
192724847,274004057,1
192724847,3044856195,2
192724847,222941873,1
192724847,1957434656,2
192724847,89820928,1
192724847,59159771,1
192724847,352125063,1
192724847,93879982,1
192724847,2097571,1
192724847,247048347,1
192724847,2996147971,1
192724847,54578210,1
192724847,19880027,1
192724847,249879301,1
192724847,36989270,1
192724847,87818409,1
192724847,2467791,1
192724847,3314607438,1
463878814,55355654,1
16127073,42959251,1
16127073,2750105810,1
2371036584,38913093,1
417553124,53377882,1
417553124,73735433,1
230765789,29417304,1
230765789,237357555,1
185569491,29330030,1
185569491,259563144,1
459546914,75052666,2
459546914,807678728,1
459546914,7744592,1
459546914,49698134,1
459546914,97474887,1
756331316,852269288,1
756331316,805504698,2
756331316,93879982,1
2976695987,38913093,1
2976695987,3148722590,1
1035456283,23636341,1
1035456283,2369929572,1
1035456283,413400427,1
1035456283,216299334,1
1035456283,1296041922,2
1035456283,13557972,1
18632361,52230962,1
18632361,382398994,1
18632361,728604440,1
18632361,29417304,3
18632361,2658243187,1
18632361,487600344,1
18632361,9228382,1
18632361,287275623,1
18632361,2165447927,1
18632361,2735655330,1
18632361,52299545,1
18632361,351415451,1
19134557,93879982,1
19134557,192477353,1
189042188,2900494041,3
189042188,830232180,1
189042188,228944118,1
189042188,69011562,1
189042188,469022809,3
189042188,22799750,2
189042188,208667872,1
189042188,274154252,1
189042188,593277973,1
189042188,3109820289,6
189042188,2908458650,1
189042188,27995424,1
189042188,19015580,2
189042188,955736706,1
189042188,23359584,2
189042188,34310801,1
189042188,20572543,1
189042188,308698101,1
