source,target,weight
1038531162124238849,1333219429216358401,1
1242549564818755584,30629175,1
1242549564818755584,330990041,1
1242549564818755584,131425776,2
1242549564818755584,297351336,1
1242549564818755584,864201677976612864,1
1242549564818755584,1268023502344384513,3
1242549564818755584,827801822,1
1242549564818755584,775938072,3
1242549564818755584,996165150,1
1242549564818755584,2799778214,1
1242549564818755584,55199013,2
1242549564818755584,17000102,1
1242549564818755584,722203055404511232,1
1242549564818755584,567289542,1
1242549564818755584,476909740,1
1242549564818755584,21723,1
1242549564818755584,420368126,1
1242549564818755584,397501227,1
1242549564818755584,829794339702325248,1
1242549564818755584,203673043,1
1242549564818755584,58422829,1
1242549564818755584,631107358,2
1242549564818755584,384533439,1
1242549564818755584,535397793,1
1242549564818755584,22962321,1
1242549564818755584,19359977,3
1242549564818755584,2598792687,1
1242549564818755584,1420804064,1
1242549564818755584,495066576,1
1242549564818755584,2887955249,1
1242549564818755584,337929427,1
1242549564818755584,28049914,1
1242549564818755584,54436268,1
1242549564818755584,756584190112591872,1
1242549564818755584,20751449,2
1242549564818755584,1382253147230502913,1
1242549564818755584,1374276991919169539,1
1242549564818755584,804663900293709826,1
1242549564818755584,3309237028,1
1242549564818755584,2723838735,1
1242549564818755584,276660353,1
1242549564818755584,2192416092,1
1242549564818755584,1341462944,1
1242549564818755584,73981267,1
1242549564818755584,75978805,1
1242549564818755584,145029687,1
1242549564818755584,42969356,1
1242549564818755584,752884954267287552,1
1242549564818755584,2613251070,1
1242549564818755584,96306270,1
1242549564818755584,350599993,1
1242549564818755584,821319451207462912,1
1242549564818755584,177164927,1
1242549564818755584,3720042855,1
1242549564818755584,3157050373,1
1242549564818755584,29577086,1
1242549564818755584,819555333727277056,1
1242549564818755584,337808606,1
1242549564818755584,1376405345665347585,6
1242549564818755584,125215990,1
1242549564818755584,1316239689615990789,1
1242549564818755584,926495035,1
1242549564818755584,16996451,1
1242549564818755584,3429723978,1
1242549564818755584,28109931,1
1098244031606411264,225779417,1
332015061,3634219694,1
1235891824570454017,22019881,2
1235891824570454017,18514796,2
1235891824570454017,22209185,1
